query_id,split,ingress_node_id,start_time_ms,query_text,zone_constraint,zone_type_constraint,service_constraint,freshness_constraint,ambiguity_level,difficulty,intended_domain_count,ground_truth_count,query_family,workload_tier,intent_facet,query_text_id,manifest_difficulty,target_relevant_domains,target_confuser_domains,explicit_domain_mention,explicit_zone_mention,semantic_intent_family
q-rf_1239_sprint-routing_hard_v3-0011,dev,"Relay,+MD4093",1000,need particulate pollution updates for overnight inversion conditions around industrial with realtime freshness,,industrial,air_quality_pm25,realtime,high,hard,3,3,paraphrase_controlled,routing_hard_v3,overnight_inversion,qt-q-rf_1239_sprint-routing_hard_v3-0011,hard,domain-02;domain-07;domain-10,domain-03;domain-14,0,0,overnight_inversion
q-rf_1239_sprint-routing_hard_v3-0012,dev,"New+York,+NY4134",1100,need fine dust level updates for industrial plume conditions around industrial with recent freshness,,industrial,air_quality_pm25,recent,high,hard,3,3,paraphrase_controlled,routing_hard_v3,industrial_plume,qt-q-rf_1239_sprint-routing_hard_v3-0012,hard,domain-02;domain-07;domain-10,domain-03;domain-14,0,0,industrial_plume
q-rf_1239_sprint-routing_hard_v3-0013,dev,"Atlanta,+GA6565",1200,need fine dust level updates for construction dust conditions around residential with realtime freshness,,residential,air_quality_pm25,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,construction_dust,qt-q-rf_1239_sprint-routing_hard_v3-0013,medium,domain-05;domain-08,domain-12;domain-13,0,0,construction_dust
q-rf_1239_sprint-routing_hard_v3-0014,dev,"Manasquan,+NJ4047",1300,need pm25 updates for construction dust conditions around stadium area with archival freshness,,stadium_area,air_quality_pm25,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,construction_dust,qt-q-rf_1239_sprint-routing_hard_v3-0014,medium,domain-11;domain-16,domain-04;domain-15,0,0,construction_dust
q-rf_1239_sprint-routing_hard_v3-0015,dev,"Tacoma,+WA6720",1400,need fine dust level updates for industrial plume conditions around transport hub with realtime freshness,,transport_hub,air_quality_pm25,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,industrial_plume,qt-q-rf_1239_sprint-routing_hard_v3-0015,medium,domain-03;domain-11,domain-10;domain-15,0,0,industrial_plume
q-rf_1239_sprint-routing_hard_v3-0016,dev,"Roachdale,+IN6402",1500,need particulate pollution updates for commuter particulate conditions around transport hub with recent freshness,,transport_hub,air_quality_pm25,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,commuter_particulate,qt-q-rf_1239_sprint-routing_hard_v3-0016,medium,domain-08;domain-11,domain-03;domain-10;domain-15,0,0,commuter_particulate
q-rf_1239_sprint-routing_hard_v3-0017,dev,Boston5499,1600,need next bus updates for hub transfer delay conditions around downtown with archival freshness,,downtown,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,hub_transfer_delay,qt-q-rf_1239_sprint-routing_hard_v3-0017,medium,domain-06;domain-09,domain-02;domain-13,0,0,hub_transfer_delay
q-rf_1239_sprint-routing_hard_v3-0018,dev,Paris4051,1700,need next bus updates for commuter peak headway conditions around downtown with realtime freshness,,downtown,bus_arrival,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,commuter_peak_headway,qt-q-rf_1239_sprint-routing_hard_v3-0018,medium,domain-06;domain-09,domain-02;domain-13,0,0,commuter_peak_headway
q-rf_1239_sprint-routing_hard_v3-0019,dev,"Relay,+MD6431",1800,need bus waiting time updates for corridor incident diversion conditions around downtown with recent freshness,,downtown,bus_arrival,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_1239_sprint-routing_hard_v3-0019,medium,domain-06;domain-09,domain-02;domain-13,0,0,corridor_incident_diversion
q-rf_1239_sprint-routing_hard_v3-0020,dev,"Munich,+Germany4087",1900,need bus arrival updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_1239_sprint-routing_hard_v3-0020,medium,domain-05;domain-08,domain-01;domain-06;domain-13,0,0,corridor_incident_diversion
q-rf_1239_sprint-routing_hard_v3-0021,dev,London4045,2000,need bus arrival updates for school dismissal bunching conditions around stadium area with archival freshness,,stadium_area,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_dismissal_bunching,qt-q-rf_1239_sprint-routing_hard_v3-0021,medium,domain-11;domain-16,domain-04;domain-15,0,0,school_dismissal_bunching
q-rf_1239_sprint-routing_hard_v3-0022,dev,"Rancho+Cordova,+CA5514",2100,need bus waiting time updates for school dismissal bunching conditions around transport hub with archival freshness,,transport_hub,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_dismissal_bunching,qt-q-rf_1239_sprint-routing_hard_v3-0022,medium,domain-08;domain-11,domain-03;domain-10;domain-15,0,0,school_dismissal_bunching
q-rf_1239_sprint-routing_hard_v3-0023,dev,"Sydney,+Australia4067",2200,need bus waiting time updates for event shuttle queue conditions around transport hub with recent freshness,,transport_hub,bus_arrival,recent,high,hard,3,3,paraphrase_controlled,routing_hard_v3,event_shuttle_queue,qt-q-rf_1239_sprint-routing_hard_v3-0023,hard,domain-03;domain-08;domain-11,domain-10;domain-15,0,0,event_shuttle_queue
q-rf_1239_sprint-routing_hard_v3-0024,dev,"Ashburn,+VA10162",2300,need ambient humidity updates for stagnant air pocket conditions around downtown with recent freshness,,downtown,humidity,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stagnant_air_pocket,qt-q-rf_1239_sprint-routing_hard_v3-0024,medium,domain-06;domain-09,domain-02;domain-13,0,0,stagnant_air_pocket
q-rf_1239_sprint-routing_hard_v3-0025,dev,"Seattle,+WA6450",2400,need ambient humidity updates for comfort moisture conditions around industrial with archival freshness,,industrial,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,comfort_moisture,qt-q-rf_1239_sprint-routing_hard_v3-0025,medium,domain-07;domain-10,domain-03;domain-14,0,0,comfort_moisture
q-rf_1239_sprint-routing_hard_v3-0026,dev,"Atlanta,+GA2338",2500,need humidity updates for morning dampness conditions around industrial with recent freshness,,industrial,humidity,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,morning_dampness,qt-q-rf_1239_sprint-routing_hard_v3-0026,medium,domain-07;domain-10,domain-03;domain-14,0,0,morning_dampness
q-rf_1239_sprint-routing_hard_v3-0027,dev,"Relay,+MD4093",2600,need ambient humidity updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_1239_sprint-routing_hard_v3-0027,medium,domain-01;domain-06,domain-05;domain-08;domain-13,0,0,indoor_outdoor_drift
q-rf_1239_sprint-routing_hard_v3-0028,dev,"New+York,+NY4134",2700,need ambient humidity updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_1239_sprint-routing_hard_v3-0028,medium,domain-05;domain-08,domain-01;domain-06;domain-13,0,0,indoor_outdoor_drift
q-rf_1239_sprint-routing_hard_v3-0029,dev,"Atlanta,+GA6565",2800,need humidity updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_1239_sprint-routing_hard_v3-0029,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
q-rf_1239_sprint-routing_hard_v3-0030,dev,"Manasquan,+NJ4047",2900,need humidity updates for indoor outdoor drift conditions around stadium area with archival freshness,,stadium_area,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_1239_sprint-routing_hard_v3-0030,medium,domain-11;domain-16,domain-04;domain-15,0,0,indoor_outdoor_drift
q-rf_1239_sprint-routing_hard_v3-0031,dev,"Tacoma,+WA6720",3000,need humidity updates for morning dampness conditions around transport hub with realtime freshness,,transport_hub,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,morning_dampness,qt-q-rf_1239_sprint-routing_hard_v3-0031,medium,domain-03;domain-08,domain-04;domain-15,0,0,morning_dampness
q-rf_1239_sprint-routing_hard_v3-0032,dev,"Roachdale,+IN6402",3100,need ambient humidity updates for comfort moisture conditions around transport hub with recent freshness,,transport_hub,humidity,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,comfort_moisture,qt-q-rf_1239_sprint-routing_hard_v3-0032,medium,domain-08;domain-11,domain-03;domain-04;domain-15,0,0,comfort_moisture
q-rf_1239_sprint-routing_hard_v3-0033,dev,Boston5499,3200,need noise level updates for nightlife spike conditions around downtown with archival freshness,,downtown,noise_level,archival,high,hard,3,3,paraphrase_controlled,routing_hard_v3,nightlife_spike,qt-q-rf_1239_sprint-routing_hard_v3-0033,hard,domain-06;domain-09;domain-14,domain-02;domain-13,0,0,nightlife_spike
q-rf_1239_sprint-routing_hard_v3-0034,dev,Paris4051,3300,need ambient noise updates for stadium dispersal noise conditions around downtown with realtime freshness,,downtown,noise_level,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_1239_sprint-routing_hard_v3-0034,medium,domain-06;domain-09,domain-13;domain-14,0,0,stadium_dispersal_noise
q-rf_1239_sprint-routing_hard_v3-0035,dev,"Relay,+MD6431",3400,need noise level updates for construction residual noise conditions around downtown with recent freshness,,downtown,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,construction_residual_noise,qt-q-rf_1239_sprint-routing_hard_v3-0035,medium,domain-06;domain-09,domain-02;domain-13,0,0,construction_residual_noise
q-rf_1239_sprint-routing_hard_v3-0036,dev,"Munich,+Germany4087",3500,need sound level updates for construction residual noise conditions around industrial with realtime freshness,,industrial,noise_level,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,construction_residual_noise,qt-q-rf_1239_sprint-routing_hard_v3-0036,medium,domain-07;domain-10,domain-03;domain-14,0,0,construction_residual_noise
q-rf_1239_sprint-routing_hard_v3-0037,dev,London4045,3600,need noise level updates for nightlife spike conditions around industrial with recent freshness,,industrial,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,nightlife_spike,qt-q-rf_1239_sprint-routing_hard_v3-0037,medium,domain-07;domain-10,domain-03;domain-14,0,0,nightlife_spike
q-rf_1239_sprint-routing_hard_v3-0038,dev,"Rancho+Cordova,+CA5514",3700,need noise level updates for school pickup disturbance conditions around residential with archival freshness,,residential,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_1239_sprint-routing_hard_v3-0038,medium,domain-01;domain-06,domain-05;domain-08;domain-13,0,0,school_pickup_disturbance
q-rf_1239_sprint-routing_hard_v3-0039,dev,"Sydney,+Australia4067",3800,need sound level updates for school pickup disturbance conditions around residential with realtime freshness,,residential,noise_level,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_1239_sprint-routing_hard_v3-0039,medium,domain-05;domain-08,domain-06;domain-13,0,0,school_pickup_disturbance
q-rf_1239_sprint-routing_hard_v3-0040,dev,"Ashburn,+VA10162",3900,need noise level updates for stadium dispersal noise conditions around residential with recent freshness,,residential,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_1239_sprint-routing_hard_v3-0040,medium,domain-05;domain-08,domain-01;domain-06,0,0,stadium_dispersal_noise
q-rf_1239_sprint-routing_hard_v3-0041,test,"Seattle,+WA6450",4000,need noise level updates for school pickup disturbance conditions around stadium area with archival freshness,,stadium_area,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_1239_sprint-routing_hard_v3-0041,medium,domain-11;domain-16,domain-04;domain-09,0,0,school_pickup_disturbance
q-rf_1239_sprint-routing_hard_v3-0042,test,"Atlanta,+GA2338",4100,need ambient noise updates for stadium dispersal noise conditions around stadium area with archival freshness,,stadium_area,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_1239_sprint-routing_hard_v3-0042,medium,domain-09;domain-12,domain-04;domain-11;domain-16,0,0,stadium_dispersal_noise
q-rf_1239_sprint-routing_hard_v3-0043,test,"Relay,+MD4093",4200,need sound level updates for freight corridor noise conditions around stadium area with realtime freshness,,stadium_area,noise_level,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_noise,qt-q-rf_1239_sprint-routing_hard_v3-0043,medium,domain-04;domain-12,domain-09;domain-11;domain-16,0,0,freight_corridor_noise
q-rf_1239_sprint-routing_hard_v3-0044,test,"New+York,+NY4134",4300,need ambient noise updates for stadium dispersal noise conditions around stadium area with realtime freshness,,stadium_area,noise_level,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_1239_sprint-routing_hard_v3-0044,medium,domain-11;domain-16,domain-04;domain-12,0,0,stadium_dispersal_noise
q-rf_1239_sprint-routing_hard_v3-0045,test,"Atlanta,+GA6565",4400,need ambient noise updates for school pickup disturbance conditions around stadium area with recent freshness,,stadium_area,noise_level,recent,high,hard,3,3,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_1239_sprint-routing_hard_v3-0045,hard,domain-04;domain-09;domain-12,domain-11;domain-16,0,0,school_pickup_disturbance
q-rf_1239_sprint-routing_hard_v3-0046,test,"Manasquan,+NJ4047",4500,need noise level updates for freight corridor noise conditions around transport hub with recent freshness,,transport_hub,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_noise,qt-q-rf_1239_sprint-routing_hard_v3-0046,medium,domain-03;domain-08,domain-04;domain-15,0,0,freight_corridor_noise
q-rf_1239_sprint-routing_hard_v3-0047,test,"Tacoma,+WA6720",4600,need vacant parking updates for resident night conditions around downtown with realtime freshness,,downtown,parking_availability,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,resident_night,qt-q-rf_1239_sprint-routing_hard_v3-0047,medium,domain-06;domain-09,domain-02;domain-13;domain-14,0,0,resident_night
q-rf_1239_sprint-routing_hard_v3-0048,test,"Roachdale,+IN6402",4700,need parking availability updates for stadium guidance conditions around downtown with recent freshness,,downtown,parking_availability,recent,high,hard,3,3,paraphrase_controlled,routing_hard_v3,stadium_guidance,qt-q-rf_1239_sprint-routing_hard_v3-0048,hard,domain-06;domain-09;domain-14,domain-02;domain-13,0,0,stadium_guidance
q-rf_1239_sprint-routing_hard_v3-0049,test,Boston5499,4800,need parking availability updates for commuter transit hub conditions around residential with archival freshness,,residential,parking_availability,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,commuter_transit_hub,qt-q-rf_1239_sprint-routing_hard_v3-0049,medium,domain-01;domain-06,domain-08;domain-13,0,0,commuter_transit_hub
q-rf_1239_sprint-routing_hard_v3-0050,test,Paris4051,4900,need vacant parking updates for stadium guidance conditions around residential with archival freshness,,residential,parking_availability,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_guidance,qt-q-rf_1239_sprint-routing_hard_v3-0050,medium,domain-08;domain-13,domain-01;domain-06,0,0,stadium_guidance
q-rf_1239_sprint-routing_hard_v3-0051,test,"Relay,+MD6431",5000,need parking availability updates for commuter transit hub conditions around residential with realtime freshness,,residential,parking_availability,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,commuter_transit_hub,qt-q-rf_1239_sprint-routing_hard_v3-0051,medium,domain-05;domain-08,domain-06;domain-13,0,0,commuter_transit_hub
q-rf_1239_sprint-routing_hard_v3-0052,test,"Munich,+Germany4087",5100,need open parking spots updates for resident night conditions around residential with recent freshness,,residential,parking_availability,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,resident_night,qt-q-rf_1239_sprint-routing_hard_v3-0052,medium,domain-08;domain-13,domain-01;domain-05,0,0,resident_night
q-rf_1239_sprint-routing_hard_v3-0053,test,London4045,5200,need vacant parking updates for commuter transit hub conditions around stadium area with archival freshness,,stadium_area,parking_availability,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,commuter_transit_hub,qt-q-rf_1239_sprint-routing_hard_v3-0053,medium,domain-11;domain-16,domain-04;domain-09,0,0,commuter_transit_hub
q-rf_1239_sprint-routing_hard_v3-0054,test,"Rancho+Cordova,+CA5514",5300,need open parking spots updates for resident night conditions around stadium area with archival freshness,,stadium_area,parking_availability,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,resident_night,qt-q-rf_1239_sprint-routing_hard_v3-0054,medium,domain-09;domain-12,domain-04;domain-11;domain-16,0,0,resident_night
q-rf_1239_sprint-routing_hard_v3-0055,test,"Sydney,+Australia4067",5400,need parking availability updates for event overflow conditions around stadium area with realtime freshness,,stadium_area,parking_availability,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,event_overflow,qt-q-rf_1239_sprint-routing_hard_v3-0055,medium,domain-04;domain-09,domain-11;domain-16,0,0,event_overflow
q-rf_1239_sprint-routing_hard_v3-0056,test,"Ashburn,+VA10162",5500,realtime resident night open parking spots near stadium area,,stadium_area,parking_availability,realtime,high,hard,2,2,semantic_brief,routing_hard_v3,resident_night,qt-q-rf_1239_sprint-routing_hard_v3-0056,medium,domain-11;domain-16,domain-04;domain-09;domain-12,0,0,resident_night
q-rf_1239_sprint-routing_hard_v3-0057,test,"Seattle,+WA6450",5600,recent commuter transit hub vacant parking near stadium area,,stadium_area,parking_availability,recent,high,hard,2,2,semantic_brief,routing_hard_v3,commuter_transit_hub,qt-q-rf_1239_sprint-routing_hard_v3-0057,medium,domain-09;domain-12,domain-04;domain-11,0,0,commuter_transit_hub
q-rf_1239_sprint-routing_hard_v3-0058,test,"Atlanta,+GA2338",5700,archival commuter transit hub vacant parking near transport hub,,transport_hub,parking_availability,archival,high,hard,2,2,semantic_brief,routing_hard_v3,commuter_transit_hub,qt-q-rf_1239_sprint-routing_hard_v3-0058,medium,domain-08;domain-11,domain-03;domain-04;domain-15,0,0,commuter_transit_hub
q-rf_1239_sprint-routing_hard_v3-0059,test,"Relay,+MD4093",5800,recent event overflow parking availability near transport hub,,transport_hub,parking_availability,recent,high,hard,2,2,semantic_brief,routing_hard_v3,event_overflow,qt-q-rf_1239_sprint-routing_hard_v3-0059,medium,domain-08;domain-11,domain-03;domain-04;domain-15,0,0,event_overflow
q-rf_1239_sprint-routing_hard_v3-0060,test,"New+York,+NY4134",5900,realtime storm runoff rainfall near downtown,,downtown,rainfall,realtime,high,hard,2,2,semantic_brief,routing_hard_v3,storm_runoff,qt-q-rf_1239_sprint-routing_hard_v3-0060,medium,domain-06;domain-09,domain-13;domain-14,0,0,storm_runoff
q-rf_1239_sprint-routing_hard_v3-0061,test,"Atlanta,+GA6565",6000,recent venue queue rain rainfall near downtown,,downtown,rainfall,recent,high,hard,2,2,semantic_brief,routing_hard_v3,venue_queue_rain,qt-q-rf_1239_sprint-routing_hard_v3-0061,medium,domain-06;domain-09,domain-02;domain-13,0,0,venue_queue_rain
q-rf_1239_sprint-routing_hard_v3-0062,test,"Manasquan,+NJ4047",6100,realtime venue queue rain precipitation level near industrial,,industrial,rainfall,realtime,high,hard,2,2,semantic_brief,routing_hard_v3,venue_queue_rain,qt-q-rf_1239_sprint-routing_hard_v3-0062,medium,domain-07;domain-10,domain-14;domain-15,0,0,venue_queue_rain
q-rf_1239_sprint-routing_hard_v3-0063,test,"Tacoma,+WA6720",6200,recent shower burst precipitation level near industrial,,industrial,rainfall,recent,high,hard,2,2,semantic_brief,routing_hard_v3,shower_burst,qt-q-rf_1239_sprint-routing_hard_v3-0063,medium,domain-07;domain-10,domain-03;domain-14,0,0,shower_burst
q-rf_1239_sprint-routing_hard_v3-0064,test,"Roachdale,+IN6402",6300,realtime drainage overflow rain intensity near stadium area,,stadium_area,rainfall,realtime,high,hard,2,2,semantic_brief,routing_hard_v3,drainage_overflow,qt-q-rf_1239_sprint-routing_hard_v3-0064,medium,domain-04;domain-09,domain-11;domain-16,0,0,drainage_overflow
q-rf_1239_sprint-routing_hard_v3-0065,test,Boston5499,6400,recent commuter downpour rainfall near stadium area,,stadium_area,rainfall,recent,high,hard,2,2,semantic_brief,routing_hard_v3,commuter_downpour,qt-q-rf_1239_sprint-routing_hard_v3-0065,medium,domain-09;domain-12,domain-04;domain-11,0,0,commuter_downpour
q-rf_1239_sprint-routing_hard_v3-0066,test,Paris4051,6500,recent drainage overflow precipitation level near transport hub,,transport_hub,rainfall,recent,high,hard,2,2,semantic_brief,routing_hard_v3,drainage_overflow,qt-q-rf_1239_sprint-routing_hard_v3-0066,medium,domain-08;domain-11,domain-04;domain-15,0,0,drainage_overflow
q-rf_1239_sprint-routing_hard_v3-0067,test,"Relay,+MD6431",6600,archival outage cluster lamp status near downtown,,downtown,street_light_state,archival,high,hard,2,2,semantic_brief,routing_hard_v3,outage_cluster,qt-q-rf_1239_sprint-routing_hard_v3-0067,medium,domain-06;domain-09,domain-02;domain-13,0,0,outage_cluster
q-rf_1239_sprint-routing_hard_v3-0068,test,"Munich,+Germany4087",6700,realtime school perimeter fault lamp status near downtown,,downtown,street_light_state,realtime,high,hard,2,2,semantic_brief,routing_hard_v3,school_perimeter_fault,qt-q-rf_1239_sprint-routing_hard_v3-0068,medium,domain-06;domain-09,domain-13;domain-14,0,0,school_perimeter_fault
q-rf_1239_sprint-routing_hard_v3-0069,test,London4045,6800,realtime maintenance flicker lamp status near industrial,,industrial,street_light_state,realtime,high,hard,2,2,semantic_brief,routing_hard_v3,maintenance_flicker,qt-q-rf_1239_sprint-routing_hard_v3-0069,medium,domain-07;domain-10,domain-03;domain-14,0,0,maintenance_flicker
q-rf_1239_sprint-routing_hard_v3-0070,test,"Rancho+Cordova,+CA5514",6900,recent outage cluster lighting state near industrial,,industrial,street_light_state,recent,high,hard,2,2,semantic_brief,routing_hard_v3,outage_cluster,qt-q-rf_1239_sprint-routing_hard_v3-0070,medium,domain-07;domain-10,domain-03;domain-14,0,0,outage_cluster
q-rf_1239_sprint-routing_hard_v3-0071,test,"Sydney,+Australia4067",7000,archival school perimeter fault street light state near stadium area,,stadium_area,street_light_state,archival,high,hard,2,2,semantic_brief,routing_hard_v3,school_perimeter_fault,qt-q-rf_1239_sprint-routing_hard_v3-0071,medium,domain-09;domain-12,domain-04;domain-11;domain-16,0,0,school_perimeter_fault
q-rf_1239_sprint-routing_hard_v3-0072,test,"Ashburn,+VA10162",7100,recent stadium egress lighting lamp status near stadium area,,stadium_area,street_light_state,recent,high,hard,2,2,semantic_brief,routing_hard_v3,stadium_egress_lighting,qt-q-rf_1239_sprint-routing_hard_v3-0072,medium,domain-09;domain-12,domain-04;domain-11;domain-16,0,0,stadium_egress_lighting
q-rf_1239_sprint-routing_hard_v3-0073,test,"Seattle,+WA6450",7200,recent dimming schedule lighting state near transport hub,,transport_hub,street_light_state,recent,high,hard,2,2,semantic_brief,routing_hard_v3,dimming_schedule,qt-q-rf_1239_sprint-routing_hard_v3-0073,medium,domain-08;domain-11,domain-04;domain-15,0,0,dimming_schedule
q-rf_1239_sprint-routing_hard_v3-0074,test,"Atlanta,+GA2338",7300,archival cooling gap ambient heat near downtown,,downtown,temperature,archival,high,hard,2,2,semantic_brief,routing_hard_v3,cooling_gap,qt-q-rf_1239_sprint-routing_hard_v3-0074,medium,domain-02;domain-07,domain-06;domain-14,0,0,cooling_gap
