object_id,domain_id,zone_id,zone_type,service_class,semantic_facet,freshness_class,time_bucket,vendor_template_id,canonical_name,producer_node_id,controller_node_id,payload_size_bytes,unit,value_type,object_version,object_text_id,semantic_intent_family,semantic_intent_variant,confuser_group_id,difficulty_tag
obj-01-01-air_quality_pm25-02-cnm01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,commuter_particulate,archival,afternoon,tpl-02,/city/domain-01/services/air_quality_pm25/zones/domain-01-zone-01/objects/obj-01-01-air_quality_pm25-02-cnm01,producer-slot-domain-01-01-2,controller-slot-domain-01,221,ugm3,float,1,text-obj-01-01-air_quality_pm25-02-cnm01,commuter_particulate,commuter_particulate_variant_02,cg-obj-01-01-air_quality_pm25-02,routing_hard
obj-01-01-air_quality_pm25-02-ncf01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,commuter_particulate,recent,afternoon,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_pm25/obj-01-01-air_quality_pm25-02-ncf01,producer-slot-domain-01-01-2,controller-slot-domain-01,221,ugm3,float,1,text-obj-01-01-air_quality_pm25-02-ncf01,commuter_particulate,commuter_particulate_variant_02,cg-obj-01-01-air_quality_pm25-02,routing_hard
obj-01-01-air_quality_pm25-03,domain-01,domain-01-zone-01,school_area,air_quality_pm25,construction_dust,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_pm25/obj-01-01-air_quality_pm25-03,producer-slot-domain-01-01-3,controller-slot-domain-01,364,ugm3,float,1,text-obj-01-01-air_quality_pm25-03,construction_dust,construction_dust_variant_03,cg-obj-01-01-air_quality_pm25-03,routing_hard
obj-01-01-air_quality_pm25-03-snm01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,school_alert,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_pm25/obj-01-01-air_quality_pm25-03-snm01,producer-slot-domain-01-01-3,controller-slot-domain-01,364,ugm3,float,1,text-obj-01-01-air_quality_pm25-03-snm01,school_alert,school_alert_variant_01,cg-obj-01-01-air_quality_pm25-03,routing_hard
obj-01-01-air_quality_pm25-03-snm02,domain-01,domain-01-zone-01,school_area,air_quality_pm25,overnight_inversion,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_pm25/obj-01-01-air_quality_pm25-03-snm02,producer-slot-domain-01-01-3,controller-slot-domain-01,364,ugm3,float,1,text-obj-01-01-air_quality_pm25-03-snm02,overnight_inversion,overnight_inversion_variant_02,cg-obj-01-01-air_quality_pm25-03,routing_hard
obj-01-01-air_quality_pm25-03-snm03,domain-01,domain-01-zone-01,school_area,air_quality_pm25,industrial_plume,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_pm25/obj-01-01-air_quality_pm25-03-snm03,producer-slot-domain-01-01-3,controller-slot-domain-01,364,ugm3,float,1,text-obj-01-01-air_quality_pm25-03-snm03,industrial_plume,industrial_plume_variant_03,cg-obj-01-01-air_quality_pm25-03,routing_hard
obj-01-01-air_quality_pm25-03-cnm01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,construction_dust,realtime,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_pm25/obj-01-01-air_quality_pm25-03-cnm01,producer-slot-domain-01-01-3,controller-slot-domain-01,364,ugm3,float,1,text-obj-01-01-air_quality_pm25-03-cnm01,construction_dust,construction_dust_variant_03,cg-obj-01-01-air_quality_pm25-03,routing_hard
obj-01-01-air_quality_pm25-03-ncf01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,construction_dust,archival,evening,tpl-04,/iot/air_quality_pm25/domain-01/domain-01-zone-01/obj-01-01-air_quality_pm25-03-ncf01,producer-slot-domain-01-01-3,controller-slot-domain-01,364,ugm3,float,1,text-obj-01-01-air_quality_pm25-03-ncf01,construction_dust,construction_dust_variant_03,cg-obj-01-01-air_quality_pm25-03,routing_hard
obj-01-01-bus_arrival-01,domain-01,domain-01-zone-01,school_area,bus_arrival,hub_transfer_delay,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/bus_arrival/obj-01-01-bus_arrival-01,producer-slot-domain-01-01-1,controller-slot-domain-01,280,minutes,integer,1,text-obj-01-01-bus_arrival-01,hub_transfer_delay,hub_transfer_delay_variant_01,cg-obj-01-01-bus_arrival-01,routing_hard
obj-01-01-bus_arrival-01-snm01,domain-01,domain-01-zone-01,school_area,bus_arrival,event_shuttle_queue,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/bus_arrival/obj-01-01-bus_arrival-01-snm01,producer-slot-domain-01-01-1,controller-slot-domain-01,280,minutes,integer,1,text-obj-01-01-bus_arrival-01-snm01,event_shuttle_queue,event_shuttle_queue_variant_01,cg-obj-01-01-bus_arrival-01,routing_hard
obj-01-01-bus_arrival-01-snm02,domain-01,domain-01-zone-01,school_area,bus_arrival,school_dismissal_bunching,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/bus_arrival/obj-01-01-bus_arrival-01-snm02,producer-slot-domain-01-01-1,controller-slot-domain-01,280,minutes,integer,1,text-obj-01-01-bus_arrival-01-snm02,school_dismissal_bunching,school_dismissal_bunching_variant_02,cg-obj-01-01-bus_arrival-01,routing_hard
obj-01-01-bus_arrival-01-snm03,domain-01,domain-01-zone-01,school_area,bus_arrival,commuter_peak_headway,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/bus_arrival/obj-01-01-bus_arrival-01-snm03,producer-slot-domain-01-01-1,controller-slot-domain-01,280,minutes,integer,1,text-obj-01-01-bus_arrival-01-snm03,commuter_peak_headway,commuter_peak_headway_variant_03,cg-obj-01-01-bus_arrival-01,routing_hard
obj-01-01-bus_arrival-01-cnm01,domain-01,domain-01-zone-01,school_area,bus_arrival,hub_transfer_delay,recent,morning,tpl-01,/domain-01/domain-01-zone-01/bus_arrival/obj-01-01-bus_arrival-01-cnm01,producer-slot-domain-01-01-1,controller-slot-domain-01,280,minutes,integer,1,text-obj-01-01-bus_arrival-01-cnm01,hub_transfer_delay,hub_transfer_delay_variant_01,cg-obj-01-01-bus_arrival-01,routing_hard
obj-01-01-bus_arrival-01-ncf01,domain-01,domain-01-zone-01,school_area,bus_arrival,hub_transfer_delay,realtime,morning,tpl-02,/city/domain-01/services/bus_arrival/zones/domain-01-zone-01/objects/obj-01-01-bus_arrival-01-ncf01,producer-slot-domain-01-01-1,controller-slot-domain-01,280,minutes,integer,1,text-obj-01-01-bus_arrival-01-ncf01,hub_transfer_delay,hub_transfer_delay_variant_01,cg-obj-01-01-bus_arrival-01,routing_hard
obj-01-01-humidity-01,domain-01,domain-01-zone-01,school_area,humidity,morning_dampness,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/humidity/obj-01-01-humidity-01,producer-slot-domain-01-01-1,controller-slot-domain-01,165,percent,float,1,text-obj-01-01-humidity-01,morning_dampness,morning_dampness_variant_01,cg-obj-01-01-humidity-01,routing_hard
obj-01-01-humidity-01-snm01,domain-01,domain-01-zone-01,school_area,humidity,comfort_moisture,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/humidity/obj-01-01-humidity-01-snm01,producer-slot-domain-01-01-1,controller-slot-domain-01,165,percent,float,1,text-obj-01-01-humidity-01-snm01,comfort_moisture,comfort_moisture_variant_01,cg-obj-01-01-humidity-01,routing_hard
obj-01-01-humidity-01-snm02,domain-01,domain-01-zone-01,school_area,humidity,indoor_outdoor_drift,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/humidity/obj-01-01-humidity-01-snm02,producer-slot-domain-01-01-1,controller-slot-domain-01,165,percent,float,1,text-obj-01-01-humidity-01-snm02,indoor_outdoor_drift,indoor_outdoor_drift_variant_02,cg-obj-01-01-humidity-01,routing_hard
obj-01-01-humidity-01-snm03,domain-01,domain-01-zone-01,school_area,humidity,irrigation_buildup,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/humidity/obj-01-01-humidity-01-snm03,producer-slot-domain-01-01-1,controller-slot-domain-01,165,percent,float,1,text-obj-01-01-humidity-01-snm03,irrigation_buildup,irrigation_buildup_variant_03,cg-obj-01-01-humidity-01,routing_hard
obj-01-01-humidity-01-cnm01,domain-01,domain-01-zone-01,school_area,humidity,morning_dampness,recent,morning,tpl-01,/domain-01/domain-01-zone-01/humidity/obj-01-01-humidity-01-cnm01,producer-slot-domain-01-01-1,controller-slot-domain-01,165,percent,float,1,text-obj-01-01-humidity-01-cnm01,morning_dampness,morning_dampness_variant_01,cg-obj-01-01-humidity-01,routing_hard
obj-01-01-humidity-01-ncf01,domain-01,domain-01-zone-01,school_area,humidity,morning_dampness,realtime,morning,tpl-02,/city/domain-01/services/humidity/zones/domain-01-zone-01/objects/obj-01-01-humidity-01-ncf01,producer-slot-domain-01-01-1,controller-slot-domain-01,165,percent,float,1,text-obj-01-01-humidity-01-ncf01,morning_dampness,morning_dampness_variant_01,cg-obj-01-01-humidity-01,routing_hard
obj-01-01-humidity-02,domain-01,domain-01-zone-01,school_area,humidity,comfort_moisture,recent,afternoon,tpl-02,/city/domain-01/services/humidity/zones/domain-01-zone-01/objects/obj-01-01-humidity-02,producer-slot-domain-01-01-2,controller-slot-domain-01,377,percent,float,1,text-obj-01-01-humidity-02,comfort_moisture,comfort_moisture_variant_02,cg-obj-01-01-humidity-02,routing_hard
obj-01-01-humidity-02-snm01,domain-01,domain-01-zone-01,school_area,humidity,indoor_outdoor_drift,recent,afternoon,tpl-02,/city/domain-01/services/humidity/zones/domain-01-zone-01/objects/obj-01-01-humidity-02-snm01,producer-slot-domain-01-01-2,controller-slot-domain-01,377,percent,float,1,text-obj-01-01-humidity-02-snm01,indoor_outdoor_drift,indoor_outdoor_drift_variant_01,cg-obj-01-01-humidity-02,routing_hard
obj-01-01-humidity-02-snm02,domain-01,domain-01-zone-01,school_area,humidity,irrigation_buildup,recent,afternoon,tpl-02,/city/domain-01/services/humidity/zones/domain-01-zone-01/objects/obj-01-01-humidity-02-snm02,producer-slot-domain-01-01-2,controller-slot-domain-01,377,percent,float,1,text-obj-01-01-humidity-02-snm02,irrigation_buildup,irrigation_buildup_variant_02,cg-obj-01-01-humidity-02,routing_hard
obj-01-01-humidity-02-snm03,domain-01,domain-01-zone-01,school_area,humidity,stagnant_air_pocket,recent,afternoon,tpl-02,/city/domain-01/services/humidity/zones/domain-01-zone-01/objects/obj-01-01-humidity-02-snm03,producer-slot-domain-01-01-2,controller-slot-domain-01,377,percent,float,1,text-obj-01-01-humidity-02-snm03,stagnant_air_pocket,stagnant_air_pocket_variant_03,cg-obj-01-01-humidity-02,routing_hard
obj-01-01-humidity-02-cnm01,domain-01,domain-01-zone-01,school_area,humidity,comfort_moisture,archival,afternoon,tpl-02,/city/domain-01/services/humidity/zones/domain-01-zone-01/objects/obj-01-01-humidity-02-cnm01,producer-slot-domain-01-01-2,controller-slot-domain-01,377,percent,float,1,text-obj-01-01-humidity-02-cnm01,comfort_moisture,comfort_moisture_variant_02,cg-obj-01-01-humidity-02,routing_hard
obj-01-01-humidity-02-ncf01,domain-01,domain-01-zone-01,school_area,humidity,comfort_moisture,recent,afternoon,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/humidity/obj-01-01-humidity-02-ncf01,producer-slot-domain-01-01-2,controller-slot-domain-01,377,percent,float,1,text-obj-01-01-humidity-02-ncf01,comfort_moisture,comfort_moisture_variant_02,cg-obj-01-01-humidity-02,routing_hard
obj-01-01-humidity-03,domain-01,domain-01-zone-01,school_area,humidity,indoor_outdoor_drift,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/humidity/obj-01-01-humidity-03,producer-slot-domain-01-01-3,controller-slot-domain-01,334,percent,float,1,text-obj-01-01-humidity-03,indoor_outdoor_drift,indoor_outdoor_drift_variant_03,cg-obj-01-01-humidity-03,routing_hard
obj-01-01-humidity-03-snm01,domain-01,domain-01-zone-01,school_area,humidity,irrigation_buildup,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/humidity/obj-01-01-humidity-03-snm01,producer-slot-domain-01-01-3,controller-slot-domain-01,334,percent,float,1,text-obj-01-01-humidity-03-snm01,irrigation_buildup,irrigation_buildup_variant_01,cg-obj-01-01-humidity-03,routing_hard
obj-01-01-humidity-03-snm02,domain-01,domain-01-zone-01,school_area,humidity,stagnant_air_pocket,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/humidity/obj-01-01-humidity-03-snm02,producer-slot-domain-01-01-3,controller-slot-domain-01,334,percent,float,1,text-obj-01-01-humidity-03-snm02,stagnant_air_pocket,stagnant_air_pocket_variant_02,cg-obj-01-01-humidity-03,routing_hard
obj-01-01-humidity-03-snm03,domain-01,domain-01-zone-01,school_area,humidity,morning_dampness,archival,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/humidity/obj-01-01-humidity-03-snm03,producer-slot-domain-01-01-3,controller-slot-domain-01,334,percent,float,1,text-obj-01-01-humidity-03-snm03,morning_dampness,morning_dampness_variant_03,cg-obj-01-01-humidity-03,routing_hard
obj-01-01-humidity-03-cnm01,domain-01,domain-01-zone-01,school_area,humidity,indoor_outdoor_drift,realtime,evening,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/humidity/obj-01-01-humidity-03-cnm01,producer-slot-domain-01-01-3,controller-slot-domain-01,334,percent,float,1,text-obj-01-01-humidity-03-cnm01,indoor_outdoor_drift,indoor_outdoor_drift_variant_03,cg-obj-01-01-humidity-03,routing_hard
obj-01-01-humidity-03-ncf01,domain-01,domain-01-zone-01,school_area,humidity,indoor_outdoor_drift,archival,evening,tpl-04,/iot/humidity/domain-01/domain-01-zone-01/obj-01-01-humidity-03-ncf01,producer-slot-domain-01-01-3,controller-slot-domain-01,334,percent,float,1,text-obj-01-01-humidity-03-ncf01,indoor_outdoor_drift,indoor_outdoor_drift_variant_03,cg-obj-01-01-humidity-03,routing_hard
obj-01-01-noise_level-01,domain-01,domain-01-zone-01,school_area,noise_level,nightlife_spike,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/noise_level/obj-01-01-noise_level-01,producer-slot-domain-01-01-1,controller-slot-domain-01,384,db,float,1,text-obj-01-01-noise_level-01,nightlife_spike,nightlife_spike_variant_01,cg-obj-01-01-noise_level-01,routing_hard
obj-01-01-noise_level-01-snm01,domain-01,domain-01-zone-01,school_area,noise_level,freight_corridor_noise,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/noise_level/obj-01-01-noise_level-01-snm01,producer-slot-domain-01-01-1,controller-slot-domain-01,384,db,float,1,text-obj-01-01-noise_level-01-snm01,freight_corridor_noise,freight_corridor_noise_variant_01,cg-obj-01-01-noise_level-01,routing_hard
obj-01-01-noise_level-01-snm02,domain-01,domain-01-zone-01,school_area,noise_level,school_pickup_disturbance,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/noise_level/obj-01-01-noise_level-01-snm02,producer-slot-domain-01-01-1,controller-slot-domain-01,384,db,float,1,text-obj-01-01-noise_level-01-snm02,school_pickup_disturbance,school_pickup_disturbance_variant_02,cg-obj-01-01-noise_level-01,routing_hard
obj-01-01-noise_level-01-snm03,domain-01,domain-01-zone-01,school_area,noise_level,stadium_dispersal_noise,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/noise_level/obj-01-01-noise_level-01-snm03,producer-slot-domain-01-01-1,controller-slot-domain-01,384,db,float,1,text-obj-01-01-noise_level-01-snm03,stadium_dispersal_noise,stadium_dispersal_noise_variant_03,cg-obj-01-01-noise_level-01,routing_hard
obj-01-01-noise_level-01-cnm01,domain-01,domain-01-zone-01,school_area,noise_level,nightlife_spike,recent,morning,tpl-01,/domain-01/domain-01-zone-01/noise_level/obj-01-01-noise_level-01-cnm01,producer-slot-domain-01-01-1,controller-slot-domain-01,384,db,float,1,text-obj-01-01-noise_level-01-cnm01,nightlife_spike,nightlife_spike_variant_01,cg-obj-01-01-noise_level-01,routing_hard
obj-01-01-noise_level-01-ncf01,domain-01,domain-01-zone-01,school_area,noise_level,nightlife_spike,realtime,morning,tpl-02,/city/domain-01/services/noise_level/zones/domain-01-zone-01/objects/obj-01-01-noise_level-01-ncf01,producer-slot-domain-01-01-1,controller-slot-domain-01,384,db,float,1,text-obj-01-01-noise_level-01-ncf01,nightlife_spike,nightlife_spike_variant_01,cg-obj-01-01-noise_level-01,routing_hard
obj-01-01-noise_level-02,domain-01,domain-01-zone-01,school_area,noise_level,freight_corridor_noise,recent,afternoon,tpl-02,/city/domain-01/services/noise_level/zones/domain-01-zone-01/objects/obj-01-01-noise_level-02,producer-slot-domain-01-01-2,controller-slot-domain-01,231,db,float,1,text-obj-01-01-noise_level-02,freight_corridor_noise,freight_corridor_noise_variant_02,cg-obj-01-01-noise_level-02,routing_hard
obj-01-01-noise_level-02-snm01,domain-01,domain-01-zone-01,school_area,noise_level,school_pickup_disturbance,recent,afternoon,tpl-02,/city/domain-01/services/noise_level/zones/domain-01-zone-01/objects/obj-01-01-noise_level-02-snm01,producer-slot-domain-01-01-2,controller-slot-domain-01,231,db,float,1,text-obj-01-01-noise_level-02-snm01,school_pickup_disturbance,school_pickup_disturbance_variant_01,cg-obj-01-01-noise_level-02,routing_hard
